0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
,,,,,,,,,,,,,,,,,,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,,,,,,,,,
,,,,,,,,,,,,,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,19,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,37,37,37,37,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,14,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,,,,,
,,,,,,,,,,,,,,,,,,,,,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
,,,,,,,,,,,,,,,,,,,,,,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
,,,,,,,,,,,,,,,,,,,,,,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,49,49,49,49,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,41,41,41,41,41,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,19,19,19,19,19,19,19,19,19,19,19,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,43,43,43,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,27,27,27,27,27,27,27,27,27,27,27,27,27,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,14,14,14,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,44,44,44,44,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,37,37,37,37,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,23,23,23,23,23,23,23,23,23,23,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,43,43,43,43,43,43,43,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,43,43,43,43,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,23,23,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,24,24,24,24,24,24,24,24,24,24,24,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,39,39,39,39,39,39,39,39,39,39,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36,36,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,13,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,26,26,26,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,19,19,19,19,19,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,43,43,43,43,43,43,43,43,43,43,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,28,28,28,28,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,48,48,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,43,43,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,14,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,21,21,21,21,21,21,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,28,28,28,28,28,28,28,28,28,28,28,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,14,14,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,35,35,35,35,35,35,35,35,35,35,35,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27,27,27,27,27,27,27,27,27,27,27,27,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,25,25,25,25,25,25,25,25,25,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,44,44,44,44,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,23,23,23,23,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,26,26,26,26,26,26,26,26,26,26,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,29,29,29,29,29,29,29,29,29,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,16,16,16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,39,39,39,39,39,39,39,39,39,39,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,43,43,43,43,43,43,43,43,43,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,14,14,14,14,14,14,14,14,14,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,33,33,33,33,33,33,33,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34,34,34,34,34,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,45,45,45,45,45,45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,24,24,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,28,28,28,28,28,28,28,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,48,48,48,48,48,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,12,12,12,12,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,14,14,14,14,14,14,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,19,19,19,19,19,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31,31,31,31,31,31,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,41,41,41,41,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,44,44,44,44,44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34,34,34,34,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,15,15,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,38,38,38,38,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,43,43,43,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,24,24,24,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37,37,37,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,30,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,45,45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34,34,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,49,49,49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,47,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
